04.05.10,Persoon.Indicatie.Staatloos.Waarde
04.63.10,Persoon.Nationaliteit.RedenVerkrijgingCode
04.64.10,Persoon.Nationaliteit.RedenVerliesCode
04.65.10,Persoon.Indicatie.BehandeldAlsNederlander.Waarde
04.65.10,Persoon.Indicatie.VastgesteldNietNederlander.Waarde
04.73.10,Persoon.BuitenlandsPersoonsnummer.Nummer
04.73.10,Persoon.BuitenlandsPersoonsnummer.AutoriteitVanAfgifteCode
04.85.10,Persoon.Nationaliteit.DatumAanvangGeldigheid
04.85.10,Persoon.Indicatie.BehandeldAlsNederlander.DatumAanvangGeldigheid
04.85.10,Persoon.Indicatie.VastgesteldNietNederlander.DatumAanvangGeldigheid
04.85.10,Persoon.Indicatie.Staatloos.DatumAanvangGeldigheid
05.01.10,GerelateerdeHuwelijkspartner.Persoon.Identificatienummers.Administratienummer
05.01.10,GerelateerdeGeregistreerdePartner.Persoon.Identificatienummers.Administratienummer
05.01.20,GerelateerdeHuwelijkspartner.Persoon.Identificatienummers.Burgerservicenummer
05.01.20,GerelateerdeGeregistreerdePartner.Persoon.Identificatienummers.Burgerservicenummer
05.02.10,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.Voornamen
05.02.10,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.Voornamen
05.02.20,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.AdellijkeTitelCode
05.02.20,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.AdellijkeTitelCode
05.02.20,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.PredicaatCode
05.02.20,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.PredicaatCode
05.02.20,GerelateerdeHuwelijkspartner.Persoon.Geslachtsaanduiding.Code
05.02.20,GerelateerdeGeregistreerdePartner.Persoon.Geslachtsaanduiding.Code
05.02.30,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.Voorvoegsel
05.02.30,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.Scheidingsteken
05.02.30,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.Voorvoegsel
05.02.30,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.Scheidingsteken
05.02.40,GerelateerdeHuwelijkspartner.Persoon.SamengesteldeNaam.Geslachtsnaamstam
05.02.40,GerelateerdeGeregistreerdePartner.Persoon.SamengesteldeNaam.Geslachtsnaamstam
05.03.10,GerelateerdeHuwelijkspartner.Persoon.Geboorte.Datum
05.03.10,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.Datum
05.03.20,GerelateerdeHuwelijkspartner.Persoon.Geboorte.GemeenteCode
05.03.20,GerelateerdeHuwelijkspartner.Persoon.Geboorte.Woonplaatsnaam
05.03.20,GerelateerdeHuwelijkspartner.Persoon.Geboorte.BuitenlandsePlaats
05.03.20,GerelateerdeHuwelijkspartner.Persoon.Geboorte.BuitenlandseRegio
05.03.20,GerelateerdeHuwelijkspartner.Persoon.Geboorte.OmschrijvingLocatie
05.03.20,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.GemeenteCode
05.03.20,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.Woonplaatsnaam
05.03.20,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.BuitenlandsePlaats
05.03.20,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.BuitenlandseRegio
05.03.20,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.OmschrijvingLocatie
05.03.30,GerelateerdeHuwelijkspartner.Persoon.Geboorte.LandGebiedCode
05.03.30,GerelateerdeGeregistreerdePartner.Persoon.Geboorte.LandGebiedCode
05.04.10,GerelateerdeHuwelijkspartner.Persoon.Geslachtsaanduiding.Code
05.04.10,GerelateerdeGeregistreerdePartner.Persoon.Geslachtsaanduiding.Code
05.06.10,Huwelijk.DatumAanvang
05.06.10,GeregistreerdPartnerschap.DatumAanvang
05.06.20,Huwelijk.GemeenteAanvangCode
05.06.20,Huwelijk.WoonplaatsnaamAanvang
05.06.20,Huwelijk.BuitenlandsePlaatsAanvang
05.06.20,Huwelijk.BuitenlandseRegioAanvang
05.06.20,Huwelijk.OmschrijvingLocatieAanvang
05.06.20,GeregistreerdPartnerschap.GemeenteAanvangCode
05.06.20,GeregistreerdPartnerschap.WoonplaatsnaamAanvang
05.06.20,GeregistreerdPartnerschap.BuitenlandsePlaatsAanvang
05.06.20,GeregistreerdPartnerschap.BuitenlandseRegioAanvang
05.06.20,GeregistreerdPartnerschap.OmschrijvingLocatieAanvang
05.06.30,Huwelijk.LandGebiedAanvangCode
05.06.30,GeregistreerdPartnerschap.LandGebiedAanvangCode
05.07.10,Huwelijk.DatumEinde
05.07.10,GeregistreerdPartnerschap.DatumEinde
05.07.20,Huwelijk.GemeenteEindeCode
05.07.20,Huwelijk.WoonplaatsnaamEinde
